2026-06-23 14:50:31.121 | INFO     | app.utils.logger:<module>:78 | Process:31868 Thread:9340 | 日志系统初始化完成，日志目录: D:\Code\PC-Project\DA\deepsearch-agents\logs
2026-06-23 14:50:31.123 | INFO     | app.agent.llm:<module>:23 | Process:31868 Thread:9340 | 开始初始化模型: model=qwen-max, base_url=https://dashscope.aliyuncs.com/compatible-mode/v1
2026-06-23 14:50:32.647 | INFO     | app.agent.llm:<module>:31 | Process:31868 Thread:9340 | 模型初始化成功
2026-06-23 14:50:33.788 | INFO     | app.api.monitor:set_loop:163 | Process:31868 Thread:9340 | ConnectionManager 绑定事件循环: 2119976832704
2026-06-23 14:50:33.788 | INFO     | app.api.server:lifespan:45 | Process:31868 Thread:9340 | 服务启动，WebSocket 事件循环已绑定: 2119976832704
2026-06-23 14:50:34.159 | INFO     | app.api.server:websocket_endpoint:288 | Process:31868 Thread:9340 | WebSocket 连接请求
2026-06-23 14:50:34.159 | INFO     | app.api.monitor:connect:169 | Process:31868 Thread:9340 | WebSocket 连接建立: thread_id=19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:43.746 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:43.747 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:50:46.405 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:46.406 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:50:47.699 | INFO     | app.api.monitor:disconnect:175 | Process:31868 Thread:9340 | WebSocket 连接断开: thread_id=19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:47.699 | INFO     | app.api.server:websocket_endpoint:301 | Process:31868 Thread:9340 | WebSocket 客户端主动断开
2026-06-23 14:50:51.107 | INFO     | app.api.server:websocket_endpoint:288 | Process:31868 Thread:9340 | WebSocket 连接请求
2026-06-23 14:50:51.107 | INFO     | app.api.monitor:connect:169 | Process:31868 Thread:9340 | WebSocket 连接建立: thread_id=19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:56.410 | INFO     | app.api.server:run_task:106 | Process:31868 Thread:9340 | 收到任务请求: query=请使用 RAGFlow 助手，查询公司内部白皮书中关于品类策略的内容，并整理成三条可执行建议。...
2026-06-23 14:50:56.410 | INFO     | app.api.server:run_task:118 | Process:31868 Thread:9340 | 任务已启动，当前活跃任务数: 1
2026-06-23 14:50:56.410 | INFO     | app.agent.main_agent:run_deep_agent:62 | Process:31868 Thread:9340 | 任务开始执行 | query=请使用 RAGFlow 助手，查询公司内部白皮书中关于品类策略的内容，并整理成三条可执行建议。...
2026-06-23 14:50:56.411 | DEBUG    | app.agent.main_agent:run_deep_agent:67 | Process:31868 Thread:9340 | 会话目录已创建: D:\Code\PC-Project\DA\deepsearch-agents\app\output\session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:56.411 | INFO     | app.api.monitor:_emit:82 | Process:31868 Thread:9340 | [Monitor:session_created] 工作目录已创建: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:56.411 | DEBUG    | app.agent.main_agent:run_deep_agent:118 | Process:31868 Thread:9340 | 开始 main_agent.astream 流式执行
2026-06-23 14:50:56.458 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:56.460 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:50:58.933 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:50:58.934 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:51:01.430 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:51:01.431 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:51:03.932 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:51:03.933 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:51:04.036 | INFO     | app.agent.main_agent:run_deep_agent:138 | Process:31868 Thread:9340 | 调用子智能体: RAGFlow助手
2026-06-23 14:51:04.036 | INFO     | app.api.monitor:_emit:82 | Process:31868 Thread:9340 | [Monitor:assistant_call] 正在调用助手: RAGFlow助手
2026-06-23 14:51:06.430 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:51:06.431 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:51:07.311 | INFO     | app.api.monitor:_emit:82 | Process:31868 Thread:13708 | [Monitor:tool_start] 开始执行工具: ragflow聊天助手列表查询工具：get_assistant_list
2026-06-23 14:51:07.311 | INFO     | app.api.monitor:_emit:82 | Process:31868 Thread:33712 | [Monitor:tool_start] 开始执行工具: ragflow提问助手工具：create_ask_delete
2026-06-23 14:51:08.928 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:51:08.929 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:51:11.431 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
2026-06-23 14:51:11.432 | INFO     | app.api.server:list_files:274 | Process:31868 Thread:9340 | 找到 0 个文件
2026-06-23 14:51:13.927 | INFO     | app.api.server:list_files:238 | Process:31868 Thread:9340 | 请求文件列表: D:/Code/PC-Project/DA/deepsearch-agents/app/output/session_19a01f5c-7da1-40c8-9d08-8212301ceac1
